address,lock_hash,total_block_reward,floor_total_block_reward
ckt1qyqrul25wyuu3cfldgkv7elh0hu6jwhav0gqr0lfaq,0x2007f925e0c12c68b572712582ebed1e71877558f9d75557f3f39d0a4f553978,1408841719264,388
ckt1qyqr9dy7lnx0r3upaaknu6w64752qyel6w8qdmeuhc,0x5b0fe8a21bf882cef65ac9e76f3f61788ffcb6a38f502b51235d1ea916fda32d,1394462567509,384
ckt1qyqte65ukzy2q0aku96rxgq2shztxvfnp9zs8qzzfg,0x8201ece51dd50fc68726c1baf548f0e19fed6772c4cc83ac82e4c478214c4643,1365102453629,376
ckt1qyq9swhvq9exy2ge4vk020qvy6gevtykp5rqz5ehk9,0x8c9404101ef18c04abbab6309cc055f1a110367d8b1e9951677df4cd5aefdc09,1237504424665,341
ckt1qyq9t32zp6lzd3v7mgvvfgleq0xths3r4mms4qx06s,0x2e16526fa575ab8ab0b62dc99dd71c9e87a64a86aaa329c52da7dce53f3e6bfe,1227952524031,338
ckt1qyq9599c7aqn5970ah326kwulpaz9f5ntpqqp279c9,0x2480beb9cfc1736ddb4d571c56de74101d7d53761a5c805c0d7ad3a36cc038c2,1173811146762,323
ckt1qyqf0lp5gg0677m0m4gptj83m9hwtj0czhpq077jpn,0x83c324d7961da3c05197e8d85cc87c430f44b358a0c3256b7483a7bd3cace0fa,1161178678706,319
ckt1qyq03j5uggmtxg5wdfqrn8xlae60u0mmkxpq32ctk3,0x705935eb446eaef2623388eeb3296c165ce5e45825e94dff8acb07ee46a0d069,1156083432356,318
ckt1qyq9h2fu2xxmdpwrpgdg9lg4e8wv465dgjysuggvp0,0xb50f3d5bb5011ef774a106509c6481cdc53955f792c6550a94717574d47fe813,1027686278601,283
ckt1qyqdxrshff7pdrj55hs3epl770svxhwe90usqw8gq9,0x52894612fbbfb5e05080d59fbd3fe7260b00f4c2c48cf81928a0504f3ee1eab1,989578004147,272
ckt1qyqtzd93xdy7rmhll88us4f7ylcnnk0njxvskh3m9g,0x11e766aa5517da5f9dd567710d05f4d69e7a71f8927ccacb03c27cecb39e1a73,970071752265,267
ckt1qyqt7vhn373ca7j2dhyzucat99v3g3mrg6eq08hktc,0x2b5624c49da2e0cdab7c461bc678428440a27842f4a5c9ea8ed83fb3a195d3b2,921976135423,254
ckt1qyqr09rdnc7ttfq4ru59tja06qgq74c2w2ss7rpqzc,0x4db0aa1143559a3b63a29ad6a1c5c78461852a957fa98fb20a99316b4f751360,804364546458,221
ckt1qyq8t2eez5hg9yh7u0vt4nj4d6g8uplzw4vsgr9clp,0x8d73dbda12c3e4ad68b4559258f221ac0eeee565debb2f264156a5413e92e62d,791222525811,218
ckt1qyqdmuxvygp5nmf0erz8cccn0cyqlzw27nlq0vwqe8,0xf95563547667db54a2b870c77371787a3acdf3538948f1ae98abbf67f5afdf83,655902889639,180
ckt1qyq2694prufnpyetkugfnkyermy3vn7tcqwqkgp32f,0xa242bb6849a5c03936e6691d4c74e9e1b4262031869f3d49a2ed44ecbe53523b,638856190893,176
